identifier,Name,CRM Path,Description,used by
archival unit_58_production_date_-_earliest,Production Date - Earliest,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for the production of the documented physical object.,Swiss Art Research Infrastructure
archival unit_59_production_date_-_latest,Production Date - Latest,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for the production of the documented physical object.,Swiss Art Research Infrastructure
archival unit_60_production_location,Production Location,--> P108i --> E12[58_1] --> P7 --> E53[60_1],This field is used to record the place of the production of the documented physical object.,Swiss Art Research Infrastructure
archival unit_61_production_period,Production Period,--> P108i --> E12[58_1] --> P10 --> E4[61_1],This field is used to record the historical period in which the production of the documented physical object occurred.,Swiss Art Research Infrastructure
archival unit_62_destruction_date_-_earliest,Destruction Date - Earliest,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for the destruction of the documented physical object.,Swiss Art Research Infrastructure
archival unit_63_destruction_date_-_latest,Destruction Date - Latest,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for the destruction of the documented physical object.,Swiss Art Research Infrastructure
archival unit_64_destruction_location,Destruction Location,--> P13i --> E6[62_1] --> P7 --> E53[64_1],This field is used to record the place of the destruction of the documented physical object.,Swiss Art Research Infrastructure
archival unit_65_destruction_period,Destruction period,--> P13i --> E6[62_1] --> P10 --> E4[65_1],This field is used to record the historical period in which the destruction of the documented physical object occurred.,Swiss Art Research Infrastructure
archival unit_262_production_-_used_physical_object,Production - Used Physical Object,--> P108i --> E12[58_1] --> P16 --> E18[262_1],This field is used to indicate the specific object used in the process of production of the documented object.,Swiss Art Research Infrastructure
archival unit_276_curation_date_-_earliest,Curation Date - Earliest,--> P147i --> E87[276_1] --> P4 --> E52[276_2] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for curation of the documented collection.,Swiss Art Research Infrastructure
archival unit_277_curation_date_-_latest,Curation Date - Latest,--> P147i --> E87[276_1] --> P4 --> E52[276_2] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for the curation of the documented collection.,Swiss Art Research Infrastructure
archival unit_278_curation_location,Curation Location,--> P147i --> E87[276_1] --> P7 --> E53[278_1],This field is used to record the location at which the curation of the documented collection occurred.,Swiss Art Research Infrastructure
archival unit_279_curation_period,Curation Period,--> P147i --> E87[276_1] --> P10 --> E4[279_1],This field is used to indicate the period during which the curation of the documented collection occurred.,Swiss Art Research Infrastructure
archival unit_281_rules_or_conventions_description,Rules or Conventions Description,--> 147i --> E87[276_1] --> P33 --> E29[281_1] --> P190 --> literal,This field is used to provide a free text description of the rules or conventions that are adopted in the curation of the documented collection.,Swiss Art Research Infrastructure
archival unit_282_rules_or_conventions_type,Rules or Conventions Type,--> 147i --> E87[276_1] --> P33 --> E29[281_1] --> P2 --> E55[282_1],This field is used to indicate the type of rules or conventions that are adopted in the curation of the documented collection.,Swiss Art Research Infrastructure
