identifier,Name,Description,CRM Path,used by
physical information carrier_58_production_date_-_earliest,Production Date - Earliest,This field is used to record the earliest possible date for the production of the documented physical information carrier.,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
physical information carrier_59_production_date_-_latest,Production Date - Latest,This field is used to record the latest possible date for the production of the documented physical information carrier.,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
physical information carrier_60_production_location,Production Location,This field is used to record the place of the production of the documented physical information carrier.,--> P108i --> E12[58_1] --> P7 --> E53[60_1],Swiss Art Research Infrastructure
physical information carrier_61_production_period,Production Period,This field is used to record the historical period in which the production of the documented physical information carrier occurred.,--> P108i --> E12[58_1] --> P10 --> E4[61_1],Swiss Art Research Infrastructure
physical information carrier_62_destruction_date_-_earliest,Destruction Date - Earliest,This field is used to record the earliest possible date for the destruction of the documented physical information carrier.,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
physical information carrier_63_destruction_date_-_latest,Destruction Date - Latest,This field is used to record the latest possible date for the destruction of the documented physical information carrier.,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
physical information carrier_64_destruction_location,Destruction Location,This field is used to record the place of the destruction of the documented physical information carrier.,--> P13i --> E6[62_1] --> P7 --> E53[64_1],Swiss Art Research Infrastructure
physical information carrier_65_destruction_period,Destruction period,This field is used to record the historical period in which the destruction of the documented physical information carrier occurred.,--> P13i --> E6[62_1] --> P10 --> E4[65_1],Swiss Art Research Infrastructure
physical information carrier_262_production_-_used_physical_object,Production - Used Physical Object,This field is used to indicate the specific object used in the process of production of the documented physical information carrier.,--> P108i --> E12[58_1] --> P16 --> E18[262_1],Swiss Art Research Infrastructure
physical information carrier_299_production_type,Production Type,This field is used to indicate the type of production activity used in the production of the documented physical information carrier.,--> P108i --> E12[58_1] --> P2 --> E55[299_1],Swiss Art Research Infrastructure
