identifier,Name,Description,CRM Path,used by
physical information carrier_1_identifier,Identifier,This field is used to record an identifier attributed to the documented physical information carrier.,--> P1 --> E42[1_1] --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
physical information carrier_2_identifier_type,Identifier Type,This field is used to record the type of the identifier attributed to the documented physical information carrier.,--> P1 --> E42[1_1] --> P2 --> E55[2_1],Swiss Art Research Infrastructure
physical information carrier_3_identifier_provider,Identifier Provider,"This field is used to record the institution, group or individual responsible for providing the documented physical information carrier's identifier.",--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P14 --> E39[3_2],Swiss Art Research Infrastructure
physical information carrier_4_identifier_source,Identifier Source,This field is used to record the source based on which the identifier was attributed to the documented physical information carrier.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P16 --> E73[4_1],Swiss Art Research Infrastructure
physical information carrier_5_name,Name,This field is used to record the main name attributed to the documented physical information carrier.,--> P1 --> E33_E41[5_1] --> P190 --> rdfs:Literal<br><br> --> P1 --> E33_E41[5_1] --> P2 --> E55[5_2]{'preferred terms'},Swiss Art Research Infrastructure
physical information carrier_6_name_language,Name Language,This field is used to record the language of the main name attributed to the documented physical information carrier.,--> P1 --> E33_E41[5_1] --> P72 --> E56[6_1],Swiss Art Research Infrastructure
physical information carrier_10_alternative_name,Alternative Name,This field is used to record an alternative  name under which the documented physical information carrier is known.,--> P1 --> E33_E41[10_1]  --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
physical information carrier_11_alternative_name_type,Alternative Name Type,This field is used to record the type of the alternative name that has been attributed to the documented physical information carrier.,--> P1 --> E33_E41[10_1] --> P2 --> E55[11_1],Swiss Art Research Infrastructure
physical information carrier_12_alternative_name_language,Alternative Name Language,This field is used to record the language of the alternative name attributed to the documented physical information carrier.,--> P1 --> E33_E41[10_1] --> P72 --> E56[12_1],Swiss Art Research Infrastructure
physical information carrier_13_alternative_name_use_period_-_earliest,Alternative Name Use Period - Earliest,This field is used to record the earliest known date for use of the alternative name attributed to the documented physical information carrier.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
physical information carrier_14_alternative_name_use_period_-_latest,Alternative Name Use Period - Latest,This field is used to record the latest known date for use of the alternative name attributed to the documented physical information carrier.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
physical information carrier_15_alternative_name_-_attributed_by,Alternative Name - Attributed by,This field is used to record the organization or individual attributing the alternative name to the documented physical information carrier.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Swiss Art Research Infrastructure
physical information carrier_16_alternative_name_-_source,Alternative Name - Source,This field is used to record the source on the basis of which the organization attributing the alternative name use based their attribution.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P16 --> E73[16_1],Swiss Art Research Infrastructure
physical information carrier_17_type,Type,This field is used to record the formal type of the documented physical information carrier.,--> P2 --> E55[17_1],Swiss Art Research Infrastructure
physical information carrier_20_type_attributor,Type Attributor,"This field is used to record the institution, group or individual responsible for attributing the formal type to the documented physical information carrier.",--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P14 --> E39[20_1],Swiss Art Research Infrastructure
physical information carrier_21_type_qualifying_description,Type Qualifying Description,This field is used to record a description of the formal type attributed to the documented physical information carrier using free text.,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P67i --> E33[21_1],Swiss Art Research Infrastructure
