identifier,Name,Description,CRM Path,used by
image_1_identifier,Identifier,This field is used to record an identifier attributed to the documented image.,--> P1 --> E42[1_1] --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
image_2_identifier_type,Identifier Type,This field is used to record the type of the identifier attributed to the documented image.,--> P1 --> E42[1_1] --> P2 --> E55[2_1],Swiss Art Research Infrastructure
image_3_identifier_provider,Identifier Provider,"This field is used to record the institution, group or individual responsible for providing the documented image's identifier.",--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P14 --> E39[3_2],Swiss Art Research Infrastructure
image_4_identifier_source,Identifier Source,This field is used to record the source based on which the identifier was attributed to the documented image.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P16 --> E73[4_1],Swiss Art Research Infrastructure
image_5_name,Name,This field is used to record the main name attributed to the documented image.,--> P1 --> E33_E41[5_1] --> P190 --> rdfs:Literal<br><br> --> P1 --> E33_E41[5_1] --> P2 --> E55[5_2]{'preferred terms'},Swiss Art Research Infrastructure
image_6_name_language,Name Language,This field is used to record the language of the main name attributed to the documented image.,--> P1 --> E33_E41[5_1] --> P72 --> E56[6_1],Swiss Art Research Infrastructure
image_7_name_part,Name Part,This field is used to record a specific part of the name attributed to the documented image.,--> P1 --> E33_E41[5_1] --> P106 --> E41[7_1] --> rdfs:label --> rdfs:Literal,Swiss Art Research Infrastructure
image_8_name_part_type,Name Part Type,This field is used to record the type of the specific part of the name attributed to the documented image.,--> P1 --> E33_E41[5_1] --> P106 --> E33_E41[7_1] --> P2 --> E55[8_1],Swiss Art Research Infrastructure
image_9_name_part_language,Name Part Language,This field is used to record the language of the part of the name attributed to the documented image.,--> P1 --> E33_E41[5_1] --> P106 --> E33_E41[7_1] --> P72 --> E56[9_1],Swiss Art Research Infrastructure
image_10_alternative_name,Alternative Name,This field is used to record an alternative  name under which the documented image is known.,--> P1 --> E33_E41[10_1]  --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
image_11_alternative_name_type,Alternative Name Type,This field is used to record the type of the alternative name that has been attributed to the documented image.,--> P1 --> E33_E41[10_1] --> P2 --> E55[11_1],Swiss Art Research Infrastructure
image_12_alternative_name_language,Alternative Name Language,This field is used to record the language of the alternative name attributed to the documented image.,--> P1 --> E33_E41[10_1] --> P72 --> E56[12_1],Swiss Art Research Infrastructure
image_13_alternative_name_use_period_-_earliest,Alternative Name Use Period - Earliest,This field is used to record the earliest known date for use of the alternative name attributed to the documented object.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
image_14_alternative_name_use_period_-_latest,Alternative Name Use Period - Latest,This field is used to record the latest known date for use of the alternative name attributed to the documented image.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
image_15_alternative_name_-_attributed_by,Alternative Name - Attributed by,This field is used to record the organization or individual attributing the alternative name to the documented object.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Swiss Art Research Infrastructure
image_16_alternative_name_-_source,Alternative Name - Source,This field is used to record the source on the basis of which the organization attributing the alternative name use based their attribution.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P16 --> E73[16_1],Swiss Art Research Infrastructure
image_17_type,Type,This field is used to record the formal type of the documented object.,--> P2 --> E55[17_1],Swiss Art Research Infrastructure
image_20_type_attributor,Type Attributor,"This field is used to record the institution, group or individual responsible for attributing the formal type to the documented image.",--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P14 --> E39[20_1],Swiss Art Research Infrastructure
image_20_type_attributor,Type Attributor,"This field is used to record the institution, group or individual responsible for attributing the formal type to the documented image.",--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P14 --> E39[20_1],Swiss Art Research Infrastructure
image_21_type_qualifying_description,Type Qualifying Description,This field is used to record a description of the formal type attributed to the documented object using free text.,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P67i --> E33[21_1],Swiss Art Research Infrastructure
image_201_style,Style,This field is used to record the style by which the documented object can be classified with or for which it is exemplary.,"--> P2 --> E55[201_1]<br><br> --> P2 --> E55[201_1] --> P2 --> E55 ""Style""[201_2]",Swiss Art Research Infrastructure
image_202_style_attributor,Style Attributor,This field is used to record the actor who attributed the style to the documented object.,--> P2 --> E55[201_1] --> P141i --> E17[202_1] --> P14 --> E39[202_2],Swiss Art Research Infrastructure
