Name,identifier,Model Specific Name,Model Specific Description,CRM Path,used by,Total_Turtle
[MOD.1] Person_fie_154_Father,person_154_father,Father,This field is used to record the biological father of the documented person.,--> P98i --> E67[11] --> P97 --> E21,Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P97_from_father <https://example.org/actor/fie_154_1> .
<https://example.org/actor/fie_154_1> a crm:E21_Person ."
[MOD.1] Person_fie_155_Mother,person_155_mother,Mother,This field is used to record the biological mother of the documented person.,--> P98i --> E67[73_1] --> P96 --> E21[155_1],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P97_by_motherr <https://example.org/actor/fie_155_1> .
<https://example.org/actor/fie_155_1> a crm:E21_Person ."
[MOD.1] Person_fie_145_National Affiliation,person_145_national_affiliation,National Affiliation,"This field is used to record the association of the documented person to a national body, usually indicating citizenship.","--> P107i --> E74[145_1] --> P107i --> E74[145_2] --> E55[""National Group""]",Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P107i_is_current_or_former_member_of
<https://example.org/actor/fie_145_1> .
<https://example.org/actor/fie_145_1> a crm:E74_Group;
crm:P2_has_type <https://example.org/type/fie_145_2> .
<https://example.org/type/fie_145_2> a crm:E55_Type ;
rdfs:label ""Nationality"" ."
[MOD.1] Person_fie_146_Cultural Affiliation,person_146_cultural_affiliation,Cultural Affiliation,This field is used to record cultural group to which the documented person is affiliated. The larger group is meant as an actual existing cultural body of actors with their own identity.,"--> P107i --> E74[146_1]<br><br> --> P107i --> E74[46_2] --> E55[""Cultural Group""]",Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P107i_is_current_or_former_member_of
<https://example.org/actor/fie_146_1> .
<https://example.org/actor/fie_146_1> a crm:E74_Group;
crm:P2_has_type <https://example.org/type/fie_146_2> .
<https://example.org/type/fie_146_2> a crm:E55_Type ;
rdfs:label ""Cultural Group"" ."
[MOD.1] Person_fie_156_Relation,person_156_relation,Relation,This field is used to record another person with whom the documented person has a social relation.,--> P01 has domain --> SRPC3_in_social_relation[156_1] --> P02_has range --> E21[156_1],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P01_has_domain <https://example.org/social/fie_156_1> .
<https://example.org/social/fie_156_1> a sari:SRPC3_in_social_relation ;
crm:P02_has_range <https://example.org/actor/fie_156_1> .

<https://example.org/actor/fie_156_1> a crm:E21_Person ."
[MOD.1] Person_fie_157_Relation Type,person_157_relation_type,Relation Type,This field is used to indicate the type of social relation holding between a referenced person and the documented person.,"--> P01 has domain --> SRPC3_in_social_relation[156_1] --> SRP3_relation_type --> E55 ""Social Relation Type""[157_1]",Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P01_has_domain <https://example.org/social/fie_156_1> .

<https://example.org/social/fie_156_1> a sari:SRPC3_in_social_relation ;
crm:P2_has_type <https://example.org/type/fie_157_1> .

<https://example.org/type/fie_157_1> a crm:E55_Type ."
[MOD.1] Person_fie_158_Institutional Affiliation,person_158_institutional_affiliation,Institutional Affiliation,This field is used to record the membership of the documented person in an institution. The referenced person should be an institution.,--> P143i --> E85[158_1] --> P01i --> PC144[158_2] --> P02 --> E74[158_3],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P143i_was_joined_by
<https://example.org/event/fie_158_1> .
<https://example.org/event/fie_158_1> a 
crm:E85_Joining;
crm:P01i_is_domain_of <https://example.org/property/fie_158_2> .
<https://example.org/property/fie_158_2> a crm:PC144_joined_with ;
crm:P02_has_range <https://example.org/actor/fie_158_3> .
<https://example.org/actor/fie_158_3> a crm:E74_Group ."
[MOD.1] Person_fie_159_Institutional Affiliation - Role,person_159_institutional_affiliation_-_role,Institutional Affiliation - Role,This field is used to record the type of role of the documented person held in relation to the institution with which they held affiliation.,--> P143i --> E85[158_1] --> P01i --> PC144[158_2] --> P144.1 --> E55[159_1],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P143i_was_joined_by
<https://example.org/event/fie_158_1> .
<https://example.org/event/fie_158_1> a 
crm:E85_Joining;
crm:P01i_is_domain_of <https://example.org/property/fie_158_2> .
<https://example.org/property/fie_158_2> a crm:PC144_joined_with;
crm:P144_1_kind_of_member <https://example.org/type/fie_159_1> .
<https://example.org/type/fie_159_1> a crm:E55_Type;
rdfs:label ""Position"" ."
[MOD.1] Person_fie_160_Institutional Affiliation Start Date - Earliest,person_160_institutional_affiliation_start_date_-_earliest,Institutional Affiliation Start Date - Earliest,This field is used to record the earliest possible date of becoming a member of the institution by the documented person.,--> P143i --> E85[158_1] --> P4 --> E52[160_1] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P143i_was_joined_by
<https://example.org/event/fie_158_1> .
<https://example.org/event/fie_158_1> a 
crm:E85_Joining;
crm:P4_has_time-span <https://example.org/time_span/fie_160_1> .<https://example.org/time_span/fie_160_1> a crm:E52_Time-Span ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime ."
[MOD.1] Person_fie_161_Institutional Affiliation Start Date - Latest,person_161_institutional_affiliation_start_date_-_latest,Institutional Affiliation Start Date - Latest,This field is used to record the latest possible date of becoming a member of the institution by the documented person.,--> P143 --> E85[158_1] --> P4 --> E52[160_1] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P143i_was_joined_by
<https://example.org/event/fie_158_1> .
<https://example.org/event/fie_158_1> a 
crm:E85_Joining;
crm:P4_has_time-span <https://example.org/time_span/fie_160_1> .<https://example.org/time_span/fie_160_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime ."
